playerLabel,teamLabel,collegeLabel,positionLabel,height,draftYear
Jamie Redd,Seattle Storm,,,185,
Keisha Anderson,Charlotte Sting,,shooting guard,170,
Ambrosia Anderson,New York Liberty,Brigham Young University,small forward,183,
Rashanda McCants,Minnesota Lynx,,,185,
Alison Lacey,Seattle Storm,Iowa State University,shooting guard,183,
Alexis Gray-Lawson,Phoenix Mercury,,shooting guard,173,
Chandi Jones,Minnesota Lynx,,shooting guard,175,
Jacqueline Batteast,Minnesota Lynx,University of Notre Dame,power forward,185,
Markita Aldridge,Washington Mystics,,shooting guard,180,
Felicity Willis,Charlotte Sting,University of Arizona,,,
Charmin Smith,Minnesota Lynx,,,178,
Amanda Zahui,Dallas Wings,University of Minnesota,center,195,
Rhonda Blades,New York Liberty,Vanderbilt University,,170,
La'Tangela Atkinson,Sacramento Monarchs,University of North Carolina at Chapel Hill,small forward,185,
Maylana Martin,Minnesota Lynx,"University of California, Los Angeles",power forward,188,
Amanda Thompson,Atlanta Dream,,,185,
Brandi McCain,Cleveland Rockers,University of Florida,guard,160,
Crystal Smith,Phoenix Mercury,,shooting guard,168,
Joy Cheek,Indiana Fever,Duke University,,73,
Charmin Smith,Seattle Storm,,,178,
Octavia Blue,Houston Comets,University of Miami,,185,
Jessica Adair,Minnesota Lynx,George Washington University,center,193,
Charmin Smith,Phoenix Mercury,,,178,
Sheila Lambert,Houston Comets,Baylor University,point guard,170,
Maylana Martin,Charlotte Sting,"University of California, Los Angeles",power forward,188,
Heidi Burge,Los Angeles Sparks,University of Virginia,power forward,196,
Quacy Barnes,Seattle Storm,,center,196,
Joy Cheek,Washington Mystics,Duke University,,73,
Shalee Lehning,Atlanta Dream,Kansas State University,,175,
Toni Foster,Phoenix Mercury,,,185,
Heidi Burge,Washington Mystics,University of Virginia,power forward,196,
Alysha Clark,Seattle Storm,Q1784748,small forward,178,
Penny Moore,Charlotte Sting,,,183,
A'Quonesia Franklin,Seattle Storm,Texas A&M University,point guard,64,
Dymond Simon,Phoenix Mercury,,point guard,65,
Coretta Brown,Indiana Fever,,,175,
Stacy Clinesmith,Sacramento Monarchs,"University of California, Santa Barbara",combo guard,165,
Amber Hall,Portland Fire,University of Washington,,75,
Heidi Burge,Los Angeles Sparks,University of Virginia,center,196,
Avery Warley,Chicago Sky,Q1468607,center,191,
Quacy Barnes,Phoenix Mercury,,center,196,
Corissa Yasen,Sacramento Monarchs,Purdue University,small forward,183,
Octavia Blue,Los Angeles Sparks,University of Miami,,185,
Alysha Clark,Seattle Storm,Belmont University,small forward,178,
Heidi Burge,Washington Mystics,University of Virginia,center,196,
La'Tangela Atkinson,Indiana Fever,University of North Carolina at Chapel Hill,small forward,185,
Angie Braziel,Charlotte Sting,Texas Tech University,small forward,188,
Cindy Blodgett,Cleveland Rockers,University of Maine,shooting guard,175,
Ashley Earley,Indiana Fever,Vanderbilt University,,,
Erica White,Atlanta Dream,,point guard,64,
Marla Brumfield,Minnesota Lynx,Prairie View A&M University,point guard,173,
Kate Paye,Seattle Storm,,shooting guard,173,
Monica Maxwell,Indiana Fever,,small forward,175,
Chanel Mokango,Los Angeles Sparks,,power forward,196,
Jené Morris,Indiana Fever,San Diego State University,shooting guard,175,
Sheila Lambert,Charlotte Sting,Baylor University,point guard,170,
Avery Warley,New York Liberty,Q1468607,center,191,
Carla Cortijo,Atlanta Dream,University of Texas at Austin,point guard,173,
Kate Paye,Minnesota Lynx,,shooting guard,173,
Fred Williams,Dallas Wings,Boise State University,,183,
Bria Hartley,Washington Mystics,,point guard,173,
Monica Lamb-Powell,Houston Comets,,center,196,
Lindsey Yamasaki,Miami Sol,Stanford University,small forward,185,
Kaleena Mosqueda-Lewis,Seattle Storm,,small forward,180,
Susan King Borchardt,Minnesota Lynx,Stanford University,point guard,,
Tasha Butts,Houston Comets,University of Tennessee,,180,
Katelan Redmon,New York Liberty,,small forward,185,
Marcie Alberts,Cleveland Rockers,Ohio State University,,,
Natalie Nakase,Golden State Valkyries,,point guard,62,
Lindsey Yamasaki,New York Liberty,Stanford University,small forward,185,
Kristi Cirone,Connecticut Sun,,point guard,68,
Katasha Artis,Charlotte Sting,University of Virginia,,185,
Sharnee Zoll,Minnesota Lynx,University of Virginia,point guard,170,
Tia Paschal,Charlotte Sting,Florida State University,small forward,185,
Tiffany Travis,Charlotte Sting,University of Florida,,71,
Sugar Rodgers,Minnesota Lynx,,shooting guard,175,
Chucky Jeffery,New York Liberty,University of Colorado Boulder,shooting guard,70,
Mandisa Stevenson,Phoenix Mercury,Auburn University,power forward,75,
Julie McBride,Chicago Sky,Syracuse University,shooting guard,163,
Mandisa Stevenson,Seattle Storm,Auburn University,power forward,75,
Jennifer Smith,New York Liberty,University of Michigan,center,,
Lindsey Moore,Minnesota Lynx,,point guard,68,
Shanele Stires,Minnesota Lynx,Ohio University,small forward,180,
Khadijah Whittington,Indiana Fever,North Carolina State University,small forward,73,
Tajama Abraham,Sacramento Monarchs,George Washington University,,190,
Nyree Roberts,Houston Comets,Old Dominion University,center,190,
Lindsay Bowen,New York Liberty,Michigan State University,,,
Marlies Gipson,Atlanta Dream,,,,
Sharnee Zoll,Chicago Sky,University of Virginia,point guard,170,
Rui Machida,Washington Mystics,,point guard,162,
Kellie Harper,Cleveland Rockers,University of Tennessee,point guard,178,
Tayler Hill,Washington Mystics,Ohio State University,shooting guard,178,
Tess Madgen,Phoenix Mercury,University of South Australia,small forward,71,
Tanja Kostic,Cleveland Rockers,Oregon State University,power forward,188,
Kamesha Hairston,Connecticut Sun,,small forward,183,
Katelan Redmon,New York Liberty,,shooting guard,185,
Kasha Terry,Indiana Fever,,center,75,
Sydney Carter,Atlanta Dream,Texas A&M University,point guard,168,
Tamara Stocks,Washington Mystics,University of Florida,center,75,
Kelsey Bone,New York Liberty,,center,193,
Katasha Artis,Charlotte Sting,Northeastern University,,185,
Kasha Terry,Atlanta Dream,,center,75,
Shelley Patterson,Minnesota Lynx,Washington State University,,,
Navonda Moore,Minnesota Lynx,University of Alabama,,70,
Sydney Carter,Connecticut Sun,Texas A&M University,point guard,168,
Taylor Lilley,Phoenix Mercury,,,66,
Chiney Ogwumike,Connecticut Sun,Stanford University,power forward,191,
Sydney Carter,Chicago Sky,Texas A&M University,point guard,168,
Tasha Butts,Minnesota Lynx,University of Tennessee,,180,
Sydney Carter,Indiana Fever,Texas A&M University,point guard,168,
Tatum Brown,Washington Mystics,,center,193,
Whitney Boddie,Sacramento Monarchs,Auburn University,point guard,173,
Niesa Johnson,Charlotte Sting,University of Alabama,point guard,175,
Sequoia Holmes,Houston Comets,"University of Nevada, Las Vegas",shooting guard,73,
Nyree Roberts,Washington Mystics,Old Dominion University,center,190,
Farhiya Abdi,Los Angeles Sparks,,small forward,188,
Quianna Chaney,Chicago Sky,Louisiana State University,shooting guard,71,
Kelly Faris,Connecticut Sun,University of Connecticut,shooting guard,180,
Kia Nurse,Los Angeles Sparks,University of Connecticut,shooting guard,72,
Chelsea Gray,Connecticut Sun,,point guard,180,
Tombi Bell,Minnesota Lynx,University of Florida,,65,
Angela Aycock,Minnesota Lynx,,shooting guard,188,
Felicia Ragland,Phoenix Mercury,Oregon State University,shooting guard,170,
Kiah Stokes,New York Liberty,,center,191,
Natasha Howard,Indiana Fever,Florida State University,small forward,191,
Stephanie Raymond,Chicago Sky,Northern Illinois University,point guard,165,
Jennifer Hamson,Los Angeles Sparks,Brigham Young University,center,201,
Kia Nurse,Chicago Sky,University of Connecticut,shooting guard,72,
Felicia Ragland,Seattle Storm,Oregon State University,shooting guard,170,
Jordan Adams,Minnesota Lynx,University of New Mexico,center,191,
Angela Aycock,Phoenix Mercury,,shooting guard,188,
Stefanie Dolson,Washington Mystics,,center,196,
Angie Potthoff,Minnesota Lynx,,,185,
Jordan Hooper,Atlanta Dream,University of Cincinnati,small forward,188,
Jennifer Hamson,Indiana Fever,Brigham Young University,center,201,
Inga Orekhova,Atlanta Dream,,guard,74,
Asia Taylor,Minnesota Lynx,,shooting guard,73,
Kia Nurse,New York Liberty,University of Connecticut,shooting guard,72,
Cassandra Crumpton,New York Liberty,,shooting guard,180,
Jordan Hooper,Connecticut Sun,University of Cincinnati,small forward,188,
Shaunzinski Gortman,Minnesota Lynx,University of South Carolina,shooting guard,178,
Natasha Howard,Seattle Storm,Florida State University,small forward,191,
Trisha Stafford,Miami Sol,,,185,
Jordan Hooper,Chicago Sky,University of Cincinnati,small forward,188,
Felicia Ragland,Houston Comets,Oregon State University,shooting guard,170,
Kia Nurse,Phoenix Mercury,University of Connecticut,shooting guard,72,
Kia Nurse,Seattle Storm,University of Connecticut,shooting guard,72,
Inga Orekhova,Connecticut Sun,,guard,74,
Kia Nurse,Toronto Tempo,University of Connecticut,shooting guard,72,
Kamiko Williams,New York Liberty,University of Tennessee,,180,
Gennifer Brandon,Chicago Sky,"University of California, Berkeley",,74,
Chelsea Gray,Los Angeles Sparks,,point guard,180,
Markeisha Gatling,Chicago Sky,,center,196,
Yang Liwei,Los Angeles Sparks,Guangdong University of Technology,point guard,69,
Shao Ting,Minnesota Lynx,Beijing Normal University,small forward,72,
Shoni Schimmel,Atlanta Dream,University of Louisville,point guard,175,
Shaunzinski Gortman,Washington Mystics,University of South Carolina,shooting guard,178,
Alex Bentley,Atlanta Dream,Pennsylvania State University,shooting guard,170,
Sonja Tate,Minnesota Lynx,Arkansas State University,,168,
Rhonda Banchero,Sacramento Monarchs,,center,191,
Stacey Ford,New York Liberty,,,188,
Alex Bentley,Connecticut Sun,Pennsylvania State University,shooting guard,170,
Maggie Lucas,Indiana Fever,,shooting guard,178,
Tricia Liston,Minnesota Lynx,,shooting guard,183,
Stephanie Talbot,Phoenix Mercury,,power forward,185,
Jamierra Faulkner,Chicago Sky,University of Southern Mississippi,point guard,168,
Chelsea Gray,Las Vegas Aces,,point guard,180,
Courtney Clements,Atlanta Dream,San Diego State University,shooting guard,183,
Joslyn Tinkle,Seattle Storm,Stanford University,,75,
Judy Mosley,Sacramento Monarchs,University of Hawaiʻi System,,185,
Tianna Hawkins,Washington Mystics,,small forward,191,
Natasha Howard,Minnesota Lynx,Florida State University,small forward,191,
Tianna Hawkins,Seattle Storm,,small forward,191,
Toni Young,New York Liberty,Oklahoma State University,small forward,73,
Shaunzinski Gortman,Seattle Storm,University of South Carolina,shooting guard,178,
Alyssa Thomas,Connecticut Sun,,small forward,188,
A'dia Mathies,Los Angeles Sparks,,shooting guard,69,
Shoni Schimmel,New York Liberty,University of Louisville,point guard,175,
Nadirah McKenith,Washington Mystics,,point guard,67,
Markeisha Gatling,Seattle Storm,,center,196,
Jasmine Hassell,Indiana Fever,,small forward,74,
Teana Miller,Charlotte Sting,Tulane University of Louisiana,center,191,
Nadirah McKenith,Minnesota Lynx,,point guard,67,
Tiffany Bias,Phoenix Mercury,Oklahoma State University,point guard,68,
Tierra Ruffin-Pratt,Washington Mystics,,shooting guard,178,
Wanda Guyton,Houston Comets,University of South Florida,center,185,
Debra Williams,Charlotte Sting,Louisiana Tech University,shooting guard,173,
Jasmine Hassell,Seattle Storm,,small forward,74,
Teana Miller,Charlotte Sting,East Carolina University,center,191,
Angela Aycock,Seattle Storm,,shooting guard,188,
Christy Smith,Charlotte Sting,University of Arkansas at Little Rock,,170,
Adaora Elonu,Atlanta Dream,,power forward,185,
Kelsey Plum,Las Vegas Aces,University of Washington,point guard,68,
Denique Graves,Sacramento Monarchs,Howard University,center,77,
Jaynetta Saunders,Phoenix Mercury,,small forward,180,
Jonquel Jones,Connecticut Sun,,power forward,78,
Raegan Scott,Cleveland Rockers,,,76,
Tiffany Woosley,Houston Comets,University of Tennessee,,67,
Camille Cooper,New York Liberty,Purdue University,center,193,
Alex Harden,Phoenix Mercury,,shooting guard,183,
Tara Williams,Phoenix Mercury,Auburn University,,180,
Erica Wheeler,New York Liberty,Rutgers University,shooting guard,170,
Gabby Williams,Chicago Sky,,small forward,71,
Samantha Logic,Atlanta Dream,,point guard,69,
Betnijah Laney,Chicago Sky,Rutgers University,shooting guard,72,
Nikki Greene,Los Angeles Sparks,Pennsylvania State University,power forward,193,
Nikki Greene,Connecticut Sun,Pennsylvania State University,power forward,193,
Nicole Kubik,Phoenix Mercury,University of Nebraska–Lincoln,,,
Jocelyn Penn,Washington Mystics,University of South Carolina,small forward,183,
Aerial Powers,Dallas Wings,,small forward,183,
Brittany Boyd,New York Liberty,"University of California, Berkeley",shooting guard,175,
Desiree Francis,New York Liberty,Iowa State University,power forward,70,
Cheyenne Parker,Chicago Sky,,power forward,193,
Rhonda Mapp,Charlotte Sting,North Carolina State University,center,188,
Rehema Stephens,Sacramento Monarchs,,,178,
LaQuanda Barksdale,Portland Fire,University of North Carolina at Chapel Hill,shooting guard,178,
Charisse Sampson,Seattle Storm,,,178,
Rhonda Mapp,Los Angeles Sparks,North Carolina State University,center,188,
Courtney Coleman,Connecticut Sun,,,72,
Natasha Cloud,Washington Mystics,,point guard,183,
Cheyenne Parker,Las Vegas Aces,,power forward,193,
Jenny Mowe,Los Angeles Sparks,,center,196,
Jennifer O'Neill,Minnesota Lynx,,point guard,165,
Olga Firsova,New York Liberty,Kansas State University,center,78,
Bernadett Határ,Indiana Fever,,center,208,
Cierra Burdick,Atlanta Dream,,power forward,188,
Elizabeth Williams,Connecticut Sun,,center,191,
Nayo Raincock-Ekunwe,New York Liberty,Simon Fraser University,center,188,
Shae Kelley,Minnesota Lynx,,small forward,73,
Ally Malott,Washington Mystics,,power forward,76,
Jewell Loyd,Seattle Storm,University of Notre Dame,point guard,178,
Napheesa Collier,Minnesota Lynx,University of Connecticut,power forward,73,
Paige Sauer,Cleveland Rockers,,center,76,
Cheyenne Parker,Atlanta Dream,,power forward,193,
Jenny Mowe,Portland Fire,,center,196,
Tara Williams,Portland Fire,Auburn University,,180,
Adut Bulgak,Chicago Sky,,center,75,
Kim Mestdagh,Washington Mystics,Colorado State University,shooting guard,180,
Paige Sauer,Los Angeles Sparks,,center,76,
Angelina Williams,Phoenix Mercury,University of Illinois Urbana-Champaign,,72,
Kelsey Plum,Los Angeles Sparks,University of Washington,point guard,68,
Briana Gilbreath,Connecticut Sun,,shooting guard,183,
Crystal Bradford,Los Angeles Sparks,,shooting guard,183,
Victoria Macaulay,Chicago Sky,,center,76,
Monique Coker,Los Angeles Sparks,,,185,
Reshanda Gray,Minnesota Lynx,,center,188,
Keitha Dickerson,Minnesota Lynx,,,180,
Andrea Garner,Seattle Storm,Pennsylvania State University,center,190,
Jameka Jones,Miami Sol,,,178,
Ryneldi Becenti,Phoenix Mercury,Arizona State University,shooting guard,168,
Jillian Alleyne,Washington Mystics,,power forward,75,
Blake Dietrick,Seattle Storm,Princeton University,point guard,70,
Trena Trice-Hill,New York Liberty,,center,188,
Rachel Banham,Connecticut Sun,,point guard,69,
Nicole Levandusky,Los Angeles Sparks,Xavier University,,,
Jillian Alleyne,Minnesota Lynx,,power forward,75,
Brittney Sykes,Los Angeles Sparks,Syracuse University,shooting guard,69,
Kalani Brown,Los Angeles Sparks,Baylor University,center,201,
Marina Mabrey,Toronto Tempo,,shooting guard,180,
Maite Cazorla,Atlanta Dream,University of Oregon,point guard,178,
Anne Armstrong,Atlanta Dream,,power forward,191,
Marina Mabrey,Chicago Sky,,shooting guard,180,
Julie Rousseau,Los Angeles Sparks,,,,
Brittney Sykes,Washington Mystics,Syracuse University,shooting guard,69,
Feyonda Fitzgerald,Connecticut Sun,,point guard,170,
Shaquala Williams,Los Angeles Sparks,,,168,
Bria Holmes,Atlanta Dream,,shooting guard,185,
Lisa Boyer,Cleveland Rockers,,,,
Leonie Fiebich,Los Angeles Sparks,,center,189,
Chrissy Givens,Dallas Wings,,,180,
Aaryn Ellenberg,Chicago Sky,,,170,
Allisha Gray,Dallas Wings,University of South Carolina,power forward,6,
Victoria Vivians,Indiana Fever,Mississippi State University,shooting guard,185,
Breanna Lewis,Dallas Wings,,center,195,
Kayla Thornton,Washington Mystics,,small forward,185,
Diamond DeShields,Chicago Sky,,small forward,185,
Kennedy Burke,Indiana Fever,,shooting guard,185,
Natisha Hiedeman,Atlanta Dream,,point guard,170,
Jennie Simms,Indiana Fever,Old Dominion University,,6,
Erin Grant,Houston Comets,,,173,
Karlie Samuelson,Dallas Wings,Stanford University,shooting guard,183,
Myisha Hines-Allen,Washington Mystics,,power forward,188,
Whitney Knight,Los Angeles Sparks,,,190,
Karlie Samuelson,Minnesota Lynx,Stanford University,shooting guard,183,
Monique Billings,Phoenix Mercury,"University of California, Los Angeles",power forward,193,
Brionna Jones,Connecticut Sun,University of Maryland,center,75,
Wendi Willits,Los Angeles Sparks,University of Arkansas,,,
Stephanie Mavunga,Indiana Fever,University of North Carolina at Chapel Hill,power forward,191,
Jordin Canada,Seattle Storm,"University of California, Los Angeles",point guard,168,
Edniesha Curry,Phoenix Mercury,"California State University, Northridge",point guard,163,
Brittney Sykes,Seattle Storm,Syracuse University,shooting guard,69,
Shereka Wright,Phoenix Mercury,Purdue University,,178,
Karlie Samuelson,Los Angeles Sparks,Stanford University,shooting guard,183,
Stephanie Mavunga,Indiana Fever,Ohio State University,power forward,191,
Jessica Shepard,Minnesota Lynx,University of Notre Dame,power forward,193,
Kiara Leslie,Washington Mystics,,shooting guard,183,
Karlie Samuelson,Washington Mystics,Stanford University,shooting guard,183,
Tahnee Robinson,Connecticut Sun,,,,
Li Yueru,Chicago Sky,,center,79,
Marina Mabrey,Connecticut Sun,,shooting guard,180,
Jessica Shepard,Minnesota Lynx,University of Nebraska–Lincoln,power forward,193,
Nicole Levesque,Charlotte Sting,,point guard,63,
Mercedes Russell,New York Liberty,,center,198,
Krystal Vaughn,Washington Mystics,,small forward,185,
Marina Mabrey,Dallas Wings,,shooting guard,180,
Lexie Brown,Connecticut Sun,,center,69,
Paris Kea,Indiana Fever,,point guard,175,
Ameryst Alston,New York Liberty,Ohio State University,,175,
Karen Booker,Houston Comets,Vanderbilt University,center,185,
Alexis Prince,Atlanta Dream,,power forward,188,
Karlie Samuelson,Phoenix Mercury,Stanford University,shooting guard,183,
Alexis Jones,Minnesota Lynx,,point guard,68,
Alaina Coates,Chicago Sky,,center,193,
Monique Billings,Dallas Wings,"University of California, Los Angeles",power forward,193,
Karlie Samuelson,Seattle Storm,Stanford University,shooting guard,183,
Teaira McCowan,Indiana Fever,Mississippi State University,center,79,
Erin Alexander,Los Angeles Sparks,"University of California, Santa Barbara",point guard,170,
Azurá Stevens,Dallas Wings,,power forward,198,
Lindsay Allen,New York Liberty,University of Notre Dame,point guard,68,
Reshea Bristol,Charlotte Sting,,,178,
Brianna Turner,Phoenix Mercury,,power forward,191,
Wes Unseld Jr.,Washington Mystics,Johns Hopkins University,,1.88,
Monique Billings,Atlanta Dream,"University of California, Los Angeles",power forward,193,
Andrea Hoover,Los Angeles Sparks,,,,
Allisha Gray,Dallas Wings,University of North Carolina at Chapel Hill,power forward,6,
Brittney Sykes,Atlanta Dream,Syracuse University,shooting guard,69,
Monique Billings,Golden State Valkyries,"University of California, Los Angeles",power forward,193,
Marina Mabrey,Los Angeles Sparks,,shooting guard,180,
Alexis Peterson,Seattle Storm,Syracuse University,point guard,165,
Kariata Diaby,Connecticut Sun,,,192,
Arica Carter,Phoenix Mercury,,,170,
Erica Ogwumike,Minnesota Lynx,Rice University,point guard,175,
Azzi Fudd,Dallas Wings,University of Connecticut,,,
Naz Hillmon,Atlanta Dream,University of Michigan,,188,
Angel Reese,Atlanta Dream,University of Maryland,,1.91,
Aaliyah Edwards,Washington Mystics,,small forward,191,
Victaria Saxton,Indiana Fever,University of South Carolina,,188,
Alissa Pili,Minnesota Lynx,University of Southern California,,,
Veronica Burton,Golden State Valkyries,Northwestern University,,175,
Stephanie Watts,Chicago Sky,University of North Carolina at Chapel Hill,,180,
Mikiah Herbert Harrigan,Minnesota Lynx,University of South Carolina,,188,
Queen Egbo,Indiana Fever,,,193,
Te'a Cooper,Phoenix Mercury,Baylor University,point guard,173,
Rae Burrell,Los Angeles Sparks,,,188,
Stephanie Watts,Chicago Sky,University of Southern California,,180,
Rebekah Gardner,Chicago Sky,"University of California, Los Angeles",small forward,185,
Te'a Cooper,Phoenix Mercury,University of Tennessee,point guard,173,
Michaela Onyenwere,New York Liberty,"University of California, Los Angeles",,183,
Rhonda Windham,Los Angeles Sparks,University of Southern California,,,
Georgia Amoore,Washington Mystics,University of Kentucky,point guard,168,
Morgan Green,New York Liberty,"University of California, Irvine",,,
Hailey Van Lith,Chicago Sky,University of Louisville,,170,
Sophie Cunningham,Indiana Fever,University of Missouri,small forward,185,
Kamilla Cardoso,Chicago Sky,University of South Carolina,,201,
Morgan Green,New York Liberty,Michigan State University,,,
Jacy Sheldon,Dallas Wings,Ohio State University,,,
Jordan Lewis,Connecticut Sun,,,,
Kayla Jones,Minnesota Lynx,,,,
Veronica Burton,Connecticut Sun,Northwestern University,,175,
Alissa Pili,Los Angeles Sparks,University of Utah,,,
Sophie Cunningham,Phoenix Mercury,University of Missouri,small forward,185,
Erica Ogwumike,Minnesota Lynx,Pepperdine University,point guard,175,
Laeticia Amihere,Golden State Valkyries,University of South Carolina,,186,
Jasmine Walker,Los Angeles Sparks,University of Alabama,,190,
Leaonna Odom,New York Liberty,Duke University,,188,
Mya Hollingshed,Las Vegas Aces,University of Colorado Boulder,,1.93,
Veronica Burton,Dallas Wings,Northwestern University,,175,
Aisha Sheppard,Las Vegas Aces,,,175,
Teonni Key,Toronto Tempo,University of Kentucky,,,
Hailey Van Lith,Chicago Sky,Texas Christian University,,170,
Sonia Citron,Washington Mystics,University of Notre Dame,,185,
Sparkle Taylor,Chicago Sky,University of Texas at El Paso,,,
Alissa Pili,Los Angeles Sparks,University of Southern California,,,
Teonni Key,Toronto Tempo,University of North Carolina at Chapel Hill,,,
Jazmine Jones,New York Liberty,University of Louisville,,183,
Laeticia Amihere,Atlanta Dream,University of South Carolina,,186,
Nia Clouden,Connecticut Sun,,,173,
Joyner Holmes,Seattle Storm,University of Texas at Austin,power forward,190,
Angel Reese,Chicago Sky,University of Maryland,,1.91,
Jaylyn Agnew,Washington Mystics,Creighton University,power forward,180,
Jasmine Walker,Los Angeles Sparks,Florida State University,,190,
Te'a Cooper,Phoenix Mercury,University of South Carolina,point guard,173,
Okako Adika,New York Liberty,University of Southern California,,,
Kylee Shook,New York Liberty,University of Louisville,,193,
Jacy Sheldon,Washington Mystics,Ohio State University,,,
Georgia Amoore,Washington Mystics,Virginia Tech,point guard,168,
Alissa Pili,Minnesota Lynx,University of Utah,,,
Hailey Van Lith,Chicago Sky,Louisiana State University,,170,
Kamilla Cardoso,Chicago Sky,Syracuse University,,201,
Crystal Dangerfield,Dallas Wings,University of Connecticut,,165,
Jacy Sheldon,Connecticut Sun,Ohio State University,,,
Satou Sabally,Dallas Wings,University of Oregon,,187,2020
Lindsey Harding,Atlanta Dream,,point guard,173,2007
Sammie Puisis,Chicago Sky,Florida State University,,,
Lindsey Harding,Los Angeles Sparks,,point guard,173,2007
Sammie Puisis,Chicago Sky,University of South Florida,,,
Lindsey Harding,Washington Mystics,,point guard,173,2007
Marlies Askamp,Los Angeles Sparks,,center,196,
Courtney Vandersloot,Chicago Sky,Gonzaga University,point guard,173,2011
Lindsey Harding,New York Liberty,,point guard,173,2007
Kiki Iriafen,Washington Mystics,Stanford University,,191,
Kiki Iriafen,Washington Mystics,University of Southern California,,191,
Lindsey Harding,Phoenix Mercury,,point guard,173,2007
Satou Sabally,New York Liberty,University of Oregon,,187,2020
Satou Sabally,Phoenix Mercury,University of Oregon,,187,2020
Helena Pueyo,Connecticut Sun,University of Arizona,,,
Breanna Stewart,Seattle Storm,University of Connecticut,shooting guard,193,2016
Pascal Angillis,Connecticut Sun,,,,
Lindsey Harding,Minnesota Lynx,,point guard,173,2007
Marlies Askamp,Miami Sol,,center,196,
Marlies Askamp,Phoenix Mercury,,center,196,
