playerLabel,teamLabel,collegeLabel,positionLabel,height,draftYear
Betty Lennox,Los Angeles Sparks,Louisiana Tech University,shooting guard,173,
Loree Moore,New York Liberty,,shooting guard,175,
Jennifer Lacy,Atlanta Dream,Pepperdine University,small forward,191,
Betty Lennox,Miami Sol,Louisiana Tech University,shooting guard,173,
Allie Quigley,Phoenix Mercury,DePaul University,shooting guard,178,
Jenna O'Hea,Seattle Storm,,shooting guard,185,
Anna Montañana,Minnesota Lynx,George Washington University,power forward,186,
Allie Quigley,Seattle Storm,DePaul University,shooting guard,178,
Monique Currie,Phoenix Mercury,Duke University,shooting guard,183,
Jennifer Lacy,Los Angeles Sparks,Pepperdine University,small forward,191,
Kristin Haynie,Atlanta Dream,Michigan State University,shooting guard,175,
LaToya Thomas,Minnesota Lynx,,small forward,188,
Valerie Still,Washington Mystics,University of Kentucky,,185,
Asjha Jones,Minnesota Lynx,University of Connecticut,center,188,
Ashley Robinson,Chicago Sky,,center,193,
Sandora Irvin,Atlanta Dream,,small forward,191,
Erin Phillips,Los Angeles Sparks,,point guard,170,
Zuzana Žirková,Washington Mystics,,point guard,175,
Chioma Nnamaka,Atlanta Dream,Georgia Tech,shooting guard,183,
Camille Little,Atlanta Dream,,power forward,188,
Stacey Lovelace-Tolbert,Minnesota Lynx,Purdue University,power forward,193,
Camille Little,Seattle Storm,,power forward,188,
Stacey Lovelace-Tolbert,Atlanta Dream,Purdue University,power forward,193,
Shameka Christon,Chicago Sky,,shooting guard,185,
Loree Moore,New York Liberty,,point guard,175,
Lisa Willis,Sacramento Monarchs,"University of California, Los Angeles",shooting guard,180,
Betty Lennox,Seattle Storm,Louisiana Tech University,shooting guard,173,
Candice Dupree,Chicago Sky,,power forward,188,
Kara Wolters,Indiana Fever,University of Connecticut,center,201,
Sandora Irvin,Phoenix Mercury,,small forward,191,
Clarissa dos Santos,Chicago Sky,,center,187,
Yelena Leuchanka,Atlanta Dream,,center,194,
Sonja Henning,Houston Comets,Stanford University,point guard,170,
Olympia Scott,Charlotte Sting,Stanford University,center,188,
Yelena Leuchanka,Washington Mystics,,center,194,
Zane Tamane,Washington Mystics,Western Illinois University,center,196,
Allison Feaster,Charlotte Sting,Harvard University,small forward,180,
Kathrin Ress,Minnesota Lynx,Boston College,power forward,193,
Brian Agler,Los Angeles Sparks,Pittsburg State University,point guard,,
Jackie Stiles,Portland Fire,Missouri State University,point guard,173,
Yelena Leuchanka,Connecticut Sun,,center,194,
Andrea Kuklová,Phoenix Mercury,,point guard,183,
Evanthia Maltsi,Connecticut Sun,,small forward,180,
Jamila Wideman,Los Angeles Sparks,Stanford University,point guard,168,
Kayte Christensen,Phoenix Mercury,,power forward,191,
Sonja Vasić,Phoenix Mercury,,small forward,189,
Kim Gaucher,Phoenix Mercury,University of Utah,small forward,183,
Zane Tamane,Phoenix Mercury,Western Illinois University,center,196,
Tamecka Dixon,Houston Comets,University of Kansas,shooting guard,175,
Kayte Christensen,Houston Comets,,power forward,191,
Carolyn Moos,Minnesota Lynx,Stanford University,center,,
Coco Miller,Atlanta Dream,University of Georgia,shooting guard,178,
Orlando Woolridge,Los Angeles Sparks,University of Notre Dame,small forward,206,
Chamique Holdsclaw,Washington Mystics,University of Tennessee,power forward,188,
Catherine Joens,Chicago Sky,George Washington University,shooting guard,180,
Vicky Bullett,Charlotte Sting,University of Maryland,power forward,191,
Kelly Miller,Minnesota Lynx,University of Georgia,point guard,178,
Carolyn Moos,Miami Sol,Stanford University,center,,
Ashley Walker,Seattle Storm,,power forward,185,
Carolyn Moos,Phoenix Mercury,Stanford University,center,,
Kristi Toliver,Los Angeles Sparks,University of Maryland,point guard,170,
Sonja Henning,Washington Mystics,Stanford University,point guard,170,
Coco Miller,Los Angeles Sparks,University of Georgia,shooting guard,178,
Leila Sobral,Washington Mystics,,small forward,185,
DeWanna Bonner,Connecticut Sun,Auburn University,small forward,193,
Tiffany Hayes,Atlanta Dream,,small forward,178,
Sonja Henning,Indiana Fever,Stanford University,point guard,170,
Kristi Toliver,Chicago Sky,University of Maryland,point guard,170,
Kelly Miller,Atlanta Dream,University of Georgia,point guard,178,
Sasha Goodlett,Chicago Sky,Georgia Tech,center,196,
Coco Miller,Washington Mystics,University of Georgia,shooting guard,178,
Ashley Walker,Connecticut Sun,,power forward,185,
Kelly Miller,Charlotte Sting,University of Georgia,point guard,178,
DeWanna Bonner,Indiana Fever,Auburn University,small forward,193,
Sasha Goodlett,Indiana Fever,Georgia Tech,center,196,
Jamila Wideman,Portland Fire,Stanford University,point guard,168,
Plenette Pierson,New York Liberty,Texas Tech University,power forward,188,
Kim Gaucher,Sacramento Monarchs,University of Utah,small forward,183,
Merlakia Jones,Cleveland Rockers,University of Florida,shooting guard,175,
Kristen O’Neill,Seattle Storm,University of Washington,small forward,73,
Kayte Christensen,Chicago Sky,,power forward,191,
Marta Fernández,Los Angeles Sparks,,shooting guard,180,
Plenette Pierson,Phoenix Mercury,Texas Tech University,power forward,188,
Kelly Miller,Washington Mystics,University of Georgia,point guard,178,
Brian Agler,Los Angeles Sparks,Wittenberg University,point guard,,
Sonja Vasić,Chicago Sky,,small forward,189,
Lauren Ervin,Connecticut Sun,,center,193,
Jamila Wideman,Cleveland Rockers,Stanford University,point guard,168,
Tamecka Dixon,Los Angeles Sparks,University of Kansas,shooting guard,175,
Kelly Miller,Indiana Fever,University of Georgia,point guard,178,
Nuria Martínez,Minnesota Lynx,,point guard,174,
Sonja Henning,Seattle Storm,Stanford University,point guard,170,
Yelena Leuchanka,Charlotte Sting,,center,194,
Chamique Holdsclaw,Washington Mystics,University of Tennessee,small forward,188,
DeWanna Bonner,Phoenix Mercury,Auburn University,small forward,193,
Vicky Bullett,Charlotte Sting,University of Maryland,small forward,191,
Tamecka Dixon,Indiana Fever,University of Kansas,shooting guard,175,
Andrea Kuklová,Phoenix Mercury,,shooting guard,183,
Kelly Miller,New York Liberty,University of Georgia,point guard,178,
Chen Nan,Chicago Sky,,center,196,
Annie La Fleur,Minnesota Lynx,,shooting guard,170,
Lynetta Kizer,Indiana Fever,University of Maryland,center,193,
Samantha Prahalis,Atlanta Dream,Ohio State University,point guard,170,
Mwadi Mabika,Houston Comets,,shooting guard,180,
Eva Horáková,Cleveland Rockers,,small forward,187,
LaToya Bond,Indiana Fever,University of Missouri,point guard,170,
Taj McWilliams-Franklin,New York Liberty,St. Edward's University,power forward,191,
Katy Steding,Sacramento Monarchs,Stanford University,small forward,183,
Samantha Prahalis,Los Angeles Sparks,Ohio State University,point guard,170,
Taj McWilliams-Franklin,New York Liberty,Georgia State University,power forward,191,
Michelle Chandler,Phoenix Mercury,,shooting guard,168,
Nykesha Sales,Connecticut Sun,University of Connecticut,small forward,183,
Brooke Smith,Minnesota Lynx,Duke University,center,191,
Andrea Lloyd,Minnesota Lynx,,power forward,188,
Lynetta Kizer,Phoenix Mercury,University of Maryland,center,193,
Dominique Canty,Chicago Sky,University of Alabama,shooting guard,175,
Kelley Cain,Connecticut Sun,University of Tennessee,center,198,
Venus Lacy,New York Liberty,Louisiana Tech University,center,193,
Kalana Greene,New York Liberty,,shooting guard,178,
Dominique Canty,Washington Mystics,University of Alabama,shooting guard,175,
Lindsay Taylor,Washington Mystics,"University of California, Santa Barbara",center,183,
Dominique Canty,Houston Comets,University of Alabama,small forward,175,
Yuko Oga,Phoenix Mercury,,point guard,170,
Mwadi Mabika,Los Angeles Sparks,,shooting guard,180,
Michelle Snow,Houston Comets,University of Tennessee,center,1.96,
Samantha Prahalis,New York Liberty,Ohio State University,point guard,170,
Trisha Fallon,Minnesota Lynx,,small forward,196,
Kelley Cain,New York Liberty,University of Tennessee,center,198,
Samantha Prahalis,Phoenix Mercury,Ohio State University,point guard,170,
Martina Weber,New York Liberty,,center,195,
Brooke Smith,Phoenix Mercury,Stanford University,center,191,
Nikki McCray,Chicago Sky,,shooting guard,181,
Sidney Spencer,Connecticut Sun,,shooting guard,191,
Sidney Spencer,Phoenix Mercury,,shooting guard,191,
Carolyn Jones-Young,Portland Fire,Auburn University,shooting guard,172,
Chay Shegog,Connecticut Sun,,center,196,
Brooke Smith,Phoenix Mercury,Duke University,center,191,
Clarissa Davis,Phoenix Mercury,,,185,
Michelle Snow,Atlanta Dream,University of Tennessee,center,1.96,
Sidney Spencer,New York Liberty,,shooting guard,191,
Nikki McCray,Indiana Fever,,shooting guard,181,
Vicky Bullett,Charlotte Sting,University of Maryland,center,191,
Taj McWilliams-Franklin,Minnesota Lynx,St. Edward's University,power forward,191,
Michele Timms,Phoenix Mercury,,point guard,170,
Dominique Canty,Chicago Sky,University of Alabama,small forward,175,
Dominique Canty,Houston Comets,University of Alabama,shooting guard,175,
Taj McWilliams-Franklin,Minnesota Lynx,Georgia State University,power forward,191,
Dominique Canty,Washington Mystics,University of Alabama,small forward,175,
Katy Steding,Seattle Storm,Stanford University,small forward,183,
